566위: 오면(44회)
566위: 쓰는(44회)
566위: 않노(44회)
582위: 중국을(43회)
582위: 따로(43회)
582위: 미친(43회)
582위: 않고(43회)
582위: 설마(43회)
582위: 새로(43회)
582위: 영화(43회)
582위: 해야지(43회)
582위: 말도(43회)
582위: 방금(43회)
582위: 어캐(43회)
582위: 땜에(43회)
582위: 나름(43회)
582위: 스스로(43회)
582위: 캐나다(43회)
582위: 않는다(43회)
582위: 어케(43회)
582위: 된(43회)
582위: 잘못(43회)
582위: 진심(43회)
582위: 아닙니다(43회)
603위: 세계(42회)
603위: 누구보다(42회)
603위: 당장(42회)
603위: 나오면(42회)
603위: 살(42회)
603위: 자체(42회)
603위: 몰라(42회)
603위: 대충(42회)
603위: 어찌(42회)
603위: 먹을(42회)
603위: 여행(42회)
614위: 태국(41회)
614위: 맨날(41회)
614위: 대통령이(41회)
614위: 조센징(41회)
614위: 뒤에(41회)
614위: 간(41회)
614위: 보니까(41회)
614위: 감히(41회)
614위: 대부분(41회)
614위: 문재인이(41회)
614위: 거임(41회)
614위: 대학(41회)
614위: 하는거(41회)
614위: 문(41회)
614위: 모르고(41회)
614위: ㅉㅉ(41회)
630위: 본(40회)
630위: 특히(40회)
630위: 저기(40회)
630위: 음(40회)
630위: 별(40회)
630위: 앞에서(40회)
630위: 이상한(40회)
630위: 쓰레기(40회)
630위: 보수(40회)
630위: 글구(40회)
630위: 트럼프(40회)
630위: 교육(40회)
630위: 우기만(40회)
630위: 거긴(40회)
630위: 잇지(40회)
630위: 국민(40회)
630위: 못하고(40회)
630위: 건가(40회)
630위: 다음(40회)
630위: 탄핵(40회)
630위: 안되는(40회)
630위: 출신(40회)
630위: 둘이(40회)
653위: 안하면(39회)
653위: 영국(39회)
653위: 많다(39회)
653위: 하루(39회)
653위: 사람을(39회)
653위: 겁나(39회)
653위: 한남충(39회)
653위: 있냐(39회)
653위: 얼굴(39회)
653위: 이명박(39회)
653위: 결혼(39회)
653위: 머(39회)
653위: 생각함(39회)
653위: (stunned)(39회)
653위: 자리(39회)
653위: 제(39회)
653위: 국밥(39회)
653위: 3(39회)
653위: 얼마(39회)
653위: 너는(39회)
653위: 해(39회)
674위: (쑥스)(38회)
674위: 앎(38회)
674위: 물(38회)
674위: 하나도(38회)
674위: 위에(38회)
674위: 누구(38회)
674위: 정도면(38회)
674위: 차이가(38회)
674위: 중국에(38회)
674위: 잇는(38회)
674위: 새로운(38회)
674위: 우(38회)
674위: (수줍)(수줍)(수줍)(38회)
674위: 지금도(38회)
674위: 적(38회)
674위: 기만이가(38회)
674위: 게(38회)
691위: ....(37회)
691위: 트젠(37회)
691위: 안에(37회)
691위: 아까(37회)
691위: 다만(37회)
691위: 한다고(37회)
691위: 마찬가지(37회)
691위: 하면서(37회)
691위: 알아서(37회)
691위: 때는(37회)
691위: 쉽게(37회)
691위: 그렇다고(37회)
691위: 분(37회)
691위: 아닌가(37회)
691위: ㅇㅈ(37회)
691위: 중에(37회)
691위: 이후로(37회)
691위: 이야기(37회)
691위: 도착(37회)
691위: 사스가(37회)
691위: 세상(37회)
691위: 시발(37회)
691위: 많아서(37회)
691위: 게이(37회)
691위: 아베(37회)
691위: 보는(37회)
691위: 점심(37회)
718위: 먹으면(36회)
718위: 헐(36회)
718위: 둘다(36회)
718위: 중앙일보(36회)
718위: 수업(36회)
718위: 알(36회)
718위: 이따(36회)
718위: 나온(36회)
718위: 그러나(36회)
718위: ㅠㅡㅠ(36회)
718위: 여긴(36회)
718위: 욕(36회)
718위: 회사(36회)
718위: 면접(36회)
718위: 청와대(36회)
718위: 평생(36회)
718위: 만약(36회)
718위: 똥(36회)
736위: 여기서(35회)
736위: 박근혜가(35회)
736위: 자(35회)
736위: 사람들은(35회)
736위: 맘에(35회)
736위: 돈을(35회)
736위: 했다(35회)
736위: 되는거(35회)
736위: 나를(35회)
736위: 것이다(35회)
736위: ㅠㅠㅠ(35회)
736위: 구속(35회)
748위: 넣고(34회)
748위: 2개(34회)
748위: 여자들(34회)
748위: 쓰면(34회)
748위: 젊은(34회)
748위: 해야(34회)
748위: 일찍(34회)
748위: 오빠(34회)
748위: 다름(34회)
748위: 놓고(34회)
748위: 하네(34회)
748위: 있나(34회)
748위: 너의(34회)
748위: 죄다(34회)
748위: 매일(34회)
748위: 믿고(34회)
748위: 인도(34회)
748위: 점점(34회)
748위: 그니깐(34회)
748위: 라고(34회)
748위: ㅇㄱㄹㅇ(34회)
748위: in(34회)
748위: 이제는(34회)
748위: 싹(34회)
748위: 않은(34회)
748위: (아잉)(34회)
748위: 갑니다(34회)
775위: 그래야(33회)
775위: 아니야(33회)
775위: 영어(33회)
775위: 어휴(33회)
775위: 하...(33회)
775위: 오른쪽(33회)
775위: 거기에(33회)
775위: 모르겠다(33회)
775위: 일본도(33회)
775위: 글(33회)
775위: 커피(33회)
775위: 전쟁(33회)
775위: 이래서(33회)
775위: 인생은(33회)
775위: 아침에(33회)
775위: 앞(33회)
775위: 그러고(33회)
775위: 시대(33회)
775위: 어디로(33회)
775위: 짱깨(33회)
775위: (ugh)(33회)
775위: 이쯤되면(33회)
775위: 남조선(33회)
775위: 후.....(33회)
775위: 등(33회)
775위: 문제임(33회)
801위: 이것도(32회)
801위: 일본군(32회)
801위: 정작(32회)
801위: 암것도(32회)
801위: 햇는데(32회)
801위: 죽이고(32회)
801위: 없습니다(32회)
801위: 걱정(32회)
801위: 치킨(32회)
801위: 있던(32회)
801위: 앉아서(32회)
801위: 보지(32회)
801위: 나와서(32회)
801위: 이유(32회)
801위: 보자(32회)
801위: 없으니(32회)
801위: 안댐(32회)
801위: 실제로(32회)
801위: 괜히(32회)
801위: 잇고(32회)
801위: 정부가(32회)
